问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
6vars_3cons_20251210_152217_564,6,3,3,0.0,95.41015625,2060.7417955012,-30896.126953125,60
6vars_3cons_20251210_152217_564,6,3,4,0.0,99.90234375,44.7984374701,-656.9765625,86
6vars_3cons_20251210_152217_564,6,3,5,0.0,98.33984375,742.3757807551,-11120.63671875,104
6vars_3cons_20251210_152217_564,6,3,6,0.0,99.8046875,89.5968749403,-1328.953125,114
6vars_3cons_20251210_152217_564,6,3,7,0.0,99.51171875,223.9921873507,-3344.8828125,130
6vars_1cons_20251210_152217_263,6,1,1,0.0,100.0,0.2666666665,11.0,25
6vars_1cons_20251210_152217_263,6,1,2,0.0,99.90234375,2.3994140609,-20.9912109375,46
6vars_1cons_20251210_152217_263,6,1,3,0.0,99.8046875,4.5321614553,-52.982421875,62
6vars_1cons_20251210_152217_263,6,1,4,0.0,100.0,0.2666666665,11.0,75
6vars_1cons_20251210_152217_263,6,1,5,0.0,100.0,0.2666666665,11.0,88
6vars_1cons_20251210_152217_263,6,1,6,0.0,100.0,0.2666666665,11.0,104
6vars_1cons_20251210_152217_263,6,1,7,0.0,99.21875,17.3286458218,-244.9296875,125
6vars_1cons_20251210_152217_664,6,1,1,0.0,100.0,1000000000.0,-10.0,23
6vars_1cons_20251210_152217_664,6,1,2,0.0,100.0,1000000000.0,-10.0,46
6vars_1cons_20251210_152217_664,6,1,3,0.0,99.21875,205764453125.0,-2057.64453125,65
6vars_1cons_20251210_152217_664,6,1,4,0.0,83.203125,577060742187.5,-5770.607421875,87
6vars_1cons_20251210_152217_664,6,1,5,0.0,28.80859375,2436062207031.25,-24360.6220703125,116
6vars_1cons_20251210_152217_664,6,1,6,0.0,92.1875,1460548535156.25,-14605.4853515625,123
6vars_1cons_20251210_152217_664,6,1,7,0.0,98.33984375,81329296875.0,-813.29296875,150
6vars_2cons_20251210_152217_462,6,2,2,0.0,99.90234375,106.6621097305,-322.986328125,38
6vars_2cons_20251210_152217_462,6,2,3,0.0,99.70703125,319.9863291916,-962.958984375,64
6vars_2cons_20251210_152217_462,6,2,5,0.0,99.90234375,106.6621097305,-322.986328125,105
6vars_2cons_20251210_152217_462,6,2,6,0.0,99.51171875,533.3105486527,-1602.931640625,112
6vars_2cons_20251210_152217_756,6,2,3,0.0,92.1875,29841.317479691,-208882.22265625,69
6vars_2cons_20251210_152217_756,6,2,4,0.0,66.796875,105084.835368852,-735586.8486328125,88
6vars_2cons_20251210_152217_756,6,2,5,0.0,72.36328125,98090.431081969,-686626.0185546875,119
6vars_2cons_20251210_152217_756,6,2,6,0.0,86.5234375,43422.5313274767,-303950.7197265625,122
6vars_2cons_20251210_152217_756,6,2,7,0.0,73.2421875,105249.2474779921,-736737.7333984375,136
6vars_1cons_20251210_152217_574,6,1,1,0.0,100.0,2.6660156161,-4.998046875,32
6vars_1cons_20251210_152217_574,6,1,2,0.0,95.41015625,696.0022763258,-2085.0068359375,48
6vars_1cons_20251210_152217_574,6,1,3,0.0,96.38671875,397.3375637797,-1189.0126953125,67
6vars_1cons_20251210_152217_574,6,1,4,0.0,99.31640625,141.1370438004,-420.4111328125,94
6vars_1cons_20251210_152217_574,6,1,5,0.0,98.046875,279.3639313605,-835.091796875,111
6vars_1cons_20251210_152217_574,6,1,6,0.0,99.21875,151.3489578288,-451.046875,128
6vars_1cons_20251210_152217_574,6,1,7,0.0,99.51171875,182.4781894959,-544.4345703125,147
6vars_3cons_20251210_152217_898,6,3,4,0.0,99.0234375,559.9755866375,-4487.8046875,76
6vars_3cons_20251210_152217_898,6,3,6,0.0,99.8046875,111.9951173275,-903.9609375,106
6vars_2cons_20251210_152217_702,6,2,2,0.0,99.4140625,8319.7493766908,-24962.248046875,45
6vars_2cons_20251210_152217_702,6,2,3,0.0,99.609375,5546.4980653633,-16642.494140625,63
6vars_2cons_20251210_152217_702,6,2,4,0.0,99.8046875,2773.2500092442,-8322.75,86
6vars_2cons_20251210_152217_702,6,2,5,0.0,99.70703125,4159.8743628246,-12482.623046875,122
6vars_2cons_20251210_152217_702,6,2,6,0.0,99.90234375,1386.6250046221,-4162.875,124
6vars_2cons_20251210_152217_702,6,2,7,0.0,99.90234375,1386.6243535804,-4162.873046875,147
6vars_2cons_20251210_152217_668,6,2,2,0.0,99.70703125,719.9897424938,-1437.9794921875,41
6vars_2cons_20251210_152217_668,6,2,3,0.0,0.0,81925.4995903725,-163849.0,52
6vars_2cons_20251210_152217_668,6,2,4,0.0,99.70703125,479.9970679125,-957.994140625,87
6vars_2cons_20251210_152217_668,6,2,5,0.0,99.90234375,399.9916972188,-797.9833984375,109
6vars_2cons_20251210_152217_668,6,2,7,0.0,99.70703125,719.9897424938,-1437.9794921875,139
6vars_3cons_20251210_152217_940,6,3,1,0.0,99.8046875,57596484375.0,-575.96484375,28
6vars_3cons_20251210_152217_940,6,3,3,0.0,96.2890625,1094333203125.0,-10943.33203125,69
6vars_3cons_20251210_152217_940,6,3,4,0.0,99.90234375,28798242187.5,-287.982421875,87
6vars_3cons_20251210_152217_940,6,3,5,0.0,99.90234375,28798242187.5,-287.982421875,96
6vars_3cons_20251210_152217_940,6,3,7,0.0,99.8046875,57596484375.0,-575.96484375,109
6vars_2cons_20251210_152217_335,6,2,2,0.0,96.875,856.1249978597,-3420.5,45
6vars_2cons_20251210_152217_335,6,2,3,0.0,32.71484375,20746.9337860233,-82983.7353515625,76
6vars_2cons_20251210_152217_335,6,2,4,0.0,13.0859375,27731.8507607485,-110923.4033203125,104
6vars_2cons_20251210_152217_335,6,2,5,0.0,44.62890625,14818.5194942037,-59270.078125,124
6vars_2cons_20251210_152217_335,6,2,6,0.0,34.765625,7363.3417784666,-29449.3671875,138
6vars_2cons_20251210_152217_335,6,2,7,0.0,84.08203125,4704.6738163633,-18814.6953125,151
6vars_2cons_20251210_152217_184,6,2,2,0.0,99.8046875,527.9873073274,-1057.974609375,48
6vars_2cons_20251210_152217_184,6,2,3,0.0,84.86328125,35934.9826015499,-71871.96484375,75
6vars_2cons_20251210_152217_184,6,2,4,0.0,92.578125,19071.4717750449,-38144.943359375,111
6vars_2cons_20251210_152217_184,6,2,5,0.0,48.73046875,117404.706641711,-234811.412109375,108
6vars_2cons_20251210_152217_184,6,2,6,0.0,92.3828125,17119.5352418477,-34241.0703125,141
6vars_2cons_20251210_152217_184,6,2,7,0.0,99.31640625,1567.9580156523,-3137.916015625,167
6vars_2cons_20251210_152217_783,6,2,3,0.0,14.6484375,40459381054687.5,-404593.810546875,62
6vars_2cons_20251210_152217_783,6,2,4,0.0,39.0625,27954265332031.25,-279542.6533203125,95
6vars_2cons_20251210_152217_783,6,2,5,0.0,76.3671875,7977357519531.25,-79773.5751953125,106
6vars_2cons_20251210_152217_783,6,2,6,0.0,82.421875,5750193261718.75,-57501.9326171875,135
6vars_2cons_20251210_152217_783,6,2,7,0.0,76.07421875,9468458886718.75,-94684.5888671875,127
6vars_3cons_20251210_152217_503,6,3,1,0.0,99.90234375,22.8589565059,-167.0126953125,30
6vars_3cons_20251210_152217_503,6,3,2,0.0,10.7421875,20893.0862463651,-146258.603515625,52
6vars_3cons_20251210_152217_503,6,3,3,0.0,7.421875,21670.2907675647,-151699.03515625,59
6vars_3cons_20251210_152217_503,6,3,4,0.0,58.69140625,15794.8645593944,-110571.0517578125,78
6vars_3cons_20251210_152217_503,6,3,5,0.0,21.97265625,29290.2529715307,-205038.7705078125,109
6vars_3cons_20251210_152217_503,6,3,6,0.0,76.07421875,5600.4443439381,-39210.1103515625,134
6vars_3cons_20251210_152217_503,6,3,7,0.0,37.6953125,14584.014250745,-102095.099609375,130
6vars_3cons_20251210_152217_682,6,3,2,0.0,99.8046875,471.2585231557,-5194.84375,43
6vars_3cons_20251210_152217_682,6,3,3,0.0,98.6328125,3298.8096620898,-36297.90625,58
6vars_3cons_20251210_152217_682,6,3,4,0.0,99.90234375,235.6292615778,-2602.921875,78
6vars_3cons_20251210_152217_682,6,3,5,0.0,99.70703125,706.8877847335,-7786.765625,90
6vars_3cons_20251210_152217_529,6,3,2,0.0,99.90234375,237.7074501164,-1670.9521484375,46
6vars_3cons_20251210_152217_529,6,3,3,0.0,88.57421875,32831.0382723479,-229824.267578125,69
6vars_3cons_20251210_152217_529,6,3,4,0.0,67.96875,138354.6747233192,-968489.7216796876,86
6vars_3cons_20251210_152217_529,6,3,5,0.0,96.97265625,18632.5707576447,-130434.9951171875,107
6vars_3cons_20251210_152217_529,6,3,6,0.0,98.828125,3967.8819811148,-27782.173828125,133
6vars_3cons_20251210_152217_529,6,3,7,0.0,93.5546875,34257.2359585371,-239807.6513671875,139
6vars_3cons_20251210_152217_443,6,3,3,0.0,99.70703125,635.9816886581,-5079.853515625,70
6vars_3cons_20251210_152217_443,6,3,4,0.0,99.70703125,635.9816886581,-5079.853515625,75
6vars_3cons_20251210_152217_443,6,3,5,0.0,99.51171875,1059.9694810969,-8471.755859375,97
6vars_3cons_20251210_152217_443,6,3,6,0.0,99.8046875,423.9877924388,-3383.90234375,109
6vars_2cons_20251210_152217_284,6,2,2,0.0,62.6953125,34335.0745487283,-137344.2978515625,41
6vars_2cons_20251210_152217_284,6,2,3,0.0,84.1796875,5055.7729618582,-20227.091796875,72
6vars_2cons_20251210_152217_284,6,2,4,0.0,38.0859375,302935.2229253068,-1211744.888671875,87
6vars_2cons_20251210_152217_284,6,2,5,0.0,75.29296875,150267.6627291848,-601074.6494140625,101
6vars_2cons_20251210_152217_284,6,2,6,0.0,14.55078125,159165.0826733033,-636664.3291015625,119
6vars_2cons_20251210_152217_284,6,2,7,0.0,2.9296875,229000.1575549223,-916004.6279296876,144
6vars_3cons_20251210_152217_123,6,3,2,0.0,99.70703125,2888.6361887056,-31785.998046875,43
6vars_3cons_20251210_152217_123,6,3,3,0.0,96.484375,4444.9044784726,-48904.94921875,61
6vars_3cons_20251210_152217_123,6,3,4,0.0,0.48828125,24445.8941095815,-268915.8349609375,89
6vars_3cons_20251210_152217_123,6,3,5,0.0,33.69140625,49673.2007731404,-546416.2080078125,134
6vars_3cons_20251210_152217_123,6,3,6,0.0,30.859375,23303.0682917812,-256344.7509765625,139
6vars_3cons_20251210_152217_123,6,3,7,0.0,52.734375,14631.6337135856,-160958.970703125,140
6vars_3cons_20251210_152217_917,6,3,2,0.0,91.30859375,28478.9573160396,-28479.95703125,57
6vars_3cons_20251210_152217_917,6,3,3,0.0,74.8046875,91677.9052136541,-91678.904296875,69
6vars_3cons_20251210_152217_917,6,3,4,0.0,99.51171875,1599.9414222494,-1600.94140625,88
6vars_3cons_20251210_152217_917,6,3,5,0.0,93.06640625,24063.304928133,-24064.3046875,102
6vars_3cons_20251210_152217_917,6,3,6,0.0,99.12109375,2975.904326634,-2976.904296875,117
6vars_3cons_20251210_152217_917,6,3,7,0.0,99.12109375,3743.9824593148,-3744.982421875,136
6vars_3cons_20251210_152217_714,6,3,1,0.0,99.90234375,51.6911809292,-684.9853515625,32
6vars_3cons_20251210_152217_714,6,3,2,0.0,99.8046875,103.3823618584,-1356.970703125,47
6vars_3cons_20251210_152217_714,6,3,5,0.0,98.92578125,1558.1033665832,-20268.34375,115
6vars_3cons_20251210_152217_714,6,3,6,0.0,83.88671875,11465.5272774494,-149064.8544921875,133
6vars_3cons_20251210_152217_714,6,3,7,0.0,88.37890625,8861.3067976818,-115209.98828125,137
6vars_2cons_20251210_152217_817,6,2,2,0.0,0.0,107553.9701900995,-430211.8818359375,52
6vars_2cons_20251210_152217_817,6,2,3,0.0,0.0,102466.184314147,-409860.73828125,61
6vars_2cons_20251210_152217_817,6,2,4,0.0,0.0,150296.8040676174,-601183.2177734375,94
6vars_2cons_20251210_152217_817,6,2,5,0.0,8.49609375,328084.8583106473,-1312335.4365234375,104
6vars_2cons_20251210_152217_817,6,2,6,0.0,32.12890625,202472.875714521,-809887.5048828125,109
6vars_2cons_20251210_152217_817,6,2,7,0.0,1.7578125,238455.7974995636,-953819.1923828124,144
6vars_2cons_20251210_152217_143,6,2,2,0.0,99.8046875,31.9990233842,-185.994140625,48
6vars_2cons_20251210_152217_143,6,2,3,0.0,0.0,44313.3148675507,-265873.8896484375,70
6vars_2cons_20251210_152217_143,6,2,4,0.0,44.921875,39593.3391267194,-237554.03515625,89
6vars_2cons_20251210_152217_143,6,2,5,0.0,32.03125,47214.5417507362,-283281.2509765625,102
6vars_2cons_20251210_152217_143,6,2,6,0.0,73.046875,9583.6700686626,-57496.0205078125,113
6vars_2cons_20251210_152217_143,6,2,7,0.0,46.58203125,21434.0020801621,-128598.0126953125,138
6vars_3cons_20251210_152217_138,6,3,2,0.0,99.90234375,1253.2960632867,-7525.7763671875,42
6vars_3cons_20251210_152217_138,6,3,3,0.0,15.52734375,31355.9429233537,-188141.6572265625,66
6vars_3cons_20251210_152217_138,6,3,4,0.0,21.875,27467.9036916132,-164813.421875,86
6vars_3cons_20251210_152217_138,6,3,5,0.0,71.58203125,23717.334837706,-142310.0087890625,120
6vars_3cons_20251210_152217_138,6,3,6,0.0,79.296875,41577.8539104423,-249473.123046875,115
6vars_3cons_20251210_152217_138,6,3,7,0.0,12.109375,30604.0578309547,-183630.3466796875,143
6vars_1cons_20251210_152217_699,6,1,1,0.0,99.90234375,72.7482908338,-286.9931640625,32
6vars_1cons_20251210_152217_699,6,1,2,0.0,99.12109375,648.7280257219,-2590.912109375,48
6vars_1cons_20251210_152217_699,6,1,3,0.0,0.0,8575.9821562944,-34299.9287109375,71
6vars_1cons_20251210_152217_699,6,1,4,0.0,0.29296875,10663.8776588872,-42651.5107421875,90
6vars_1cons_20251210_152217_699,6,1,5,0.0,5.37109375,8328.01169793,-33308.046875,123
6vars_1cons_20251210_152217_699,6,1,6,0.0,88.0859375,5072.4113642721,-20285.6455078125,137
6vars_1cons_20251210_152217_699,6,1,7,0.0,78.125,7744.3168751705,-30973.267578125,142
6vars_1cons_20251210_152217_175,6,1,1,0.0,97.8515625,120.8959417059,-1079.0634765625,29
6vars_1cons_20251210_152217_175,6,1,2,0.0,99.51171875,28.4447699337,-247.0029296875,48
6vars_1cons_20251210_152217_175,6,1,3,0.0,3.90625,3627.0945055185,-32634.8505859375,69
6vars_1cons_20251210_152217_175,6,1,4,0.0,51.7578125,3431.1897748334,-30871.7080078125,95
6vars_1cons_20251210_152217_175,6,1,5,0.0,19.7265625,5916.2928536694,-53237.6357421875,106
6vars_1cons_20251210_152217_175,6,1,6,0.0,70.01953125,1585.818249106,-14263.3642578125,122
6vars_1cons_20251210_152217_175,6,1,7,0.0,58.59375,2144.0881052566,-19287.79296875,138
6vars_1cons_20251210_152217_118,6,1,2,0.0,99.90234375,95.9990237575,-290.9970703125,54
6vars_1cons_20251210_152217_118,6,1,3,0.0,99.90234375,95.9951175075,-290.9853515625,72
6vars_1cons_20251210_152217_118,6,1,4,0.0,75.390625,9791.7194336807,-29378.158203125,98
6vars_1cons_20251210_152217_118,6,1,5,0.0,24.90234375,81331.746039335,-243998.2373046875,104
6vars_1cons_20251210_152217_118,6,1,6,0.0,27.05078125,35049.8214058952,-105152.4638671875,123
6vars_1cons_20251210_152217_118,6,1,7,0.0,32.2265625,8523.0674112227,-25572.2021484375,136
6vars_2cons_20251210_152217_884,6,2,1,0.0,100.0,1.2499999984,-2.0,29
6vars_2cons_20251210_152217_884,6,2,2,0.0,98.92578125,733.2315664663,-5857.8525390625,46
6vars_2cons_20251210_152217_884,6,2,3,0.0,47.36328125,8269.7686664206,-66150.1494140625,73
6vars_2cons_20251210_152217_884,6,2,4,0.0,65.4296875,6200.6420820929,-49597.13671875,92
6vars_2cons_20251210_152217_884,6,2,5,0.0,7.12890625,16798.4462680644,-134379.5703125,92
6vars_2cons_20251210_152217_884,6,2,6,0.0,89.35546875,3044.4594688507,-24347.67578125,124
6vars_2cons_20251210_152217_884,6,2,7,0.0,80.6640625,1416.3563214717,-11322.8505859375,155
6vars_1cons_20251210_152217_733,6,1,1,0.0,99.90234375,63.9982909356,-503.986328125,29
6vars_1cons_20251210_152217_733,6,1,2,0.0,99.90234375,3.9995117138,-23.99609375,46
6vars_1cons_20251210_152217_733,6,1,3,0.0,0.0,4132.9963327244,-33055.970703125,70
6vars_1cons_20251210_152217_733,6,1,4,0.0,94.04296875,304.0205074325,-2424.1640625,101
6vars_1cons_20251210_152217_733,6,1,5,0.0,0.0,4348.9904730794,-34783.923828125,114
6vars_1cons_20251210_152217_733,6,1,6,0.0,98.53515625,60.0021971906,-472.017578125,132
6vars_1cons_20251210_152217_733,6,1,7,0.0,0.0,4580.9782657582,-36639.826171875,153
6vars_1cons_20251210_152217_527,6,1,1,0.0,100.0,3.00000001,-12.0,25
6vars_1cons_20251210_152217_527,6,1,2,0.0,99.8046875,56.3294272711,-171.98828125,46
6vars_1cons_20251210_152217_527,6,1,3,0.0,91.40625,1248.5862671828,-3748.7587890625,78
