问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
8vars_1cons_20251210_152830_800,8,1,1,0.0,100.0,0.7826086953,5.0,29
8vars_1cons_20251210_152830_800,8,1,2,0.0,47.265625,972.0132044008,-22333.3037109375,43
8vars_1cons_20251210_152830_800,8,1,3,0.0,66.89453125,593.4946923371,-13627.3779296875,60
8vars_1cons_20251210_152830_800,8,1,4,0.0,69.43359375,444.2488109482,-10194.72265625,78
8vars_1cons_20251210_152830_800,8,1,5,0.0,66.9921875,565.5258574307,-12984.0947265625,108
8vars_1cons_20251210_152830_800,8,1,6,0.0,47.65625,817.1816827289,-18772.1787109375,123
8vars_1cons_20251210_152830_800,8,1,7,0.0,80.078125,297.2089842458,-6812.806640625,136
8vars_1cons_20251210_152830_745,8,1,1,0.0,99.90234375,12.6595052505,-40.978515625,30
8vars_1cons_20251210_152830_745,8,1,2,0.0,99.4140625,65.8554689695,-200.56640625,47
8vars_1cons_20251210_152830_745,8,1,3,0.0,100.0,1.9882812566,-8.96484375,62
8vars_1cons_20251210_152830_745,8,1,4,83.0078125,100.0,0.3398437511,-4.01953125,97
8vars_1cons_20251210_152830_745,8,1,5,0.0,99.90234375,11.1087239954,-36.326171875,120
8vars_1cons_20251210_152830_745,8,1,6,0.0,99.8046875,21.8444011145,-68.533203125,131
8vars_1cons_20251210_152830_745,8,1,7,0.0,99.90234375,11.8020833727,-38.40625,138
8vars_1cons_20251210_152830_176,8,1,1,0.0,100.0,0.8999999991,1.0,31
8vars_1cons_20251210_152830_176,8,1,2,98.14453125,100.0,0.0153320312,9.8466796875,48
8vars_1cons_20251210_152830_176,8,1,3,45.60546875,100.0,0.4895507808,5.1044921875,79
8vars_1cons_20251210_152830_176,8,1,4,18.9453125,100.0,0.7294921868,2.705078125,92
8vars_1cons_20251210_152830_176,8,1,5,16.50390625,100.0,0.751464843,2.4853515625,119
8vars_1cons_20251210_152830_176,8,1,6,58.0078125,100.0,0.3783203121,6.216796875,139
8vars_1cons_20251210_152830_176,8,1,7,0.0,99.90234375,3.2225585905,-22.2255859375,167
8vars_1cons_20251210_152830_522,8,1,1,0.0,100.0,0.7187499998,9.0,29
8vars_1cons_20251210_152830_522,8,1,2,0.0,39.6484375,4204.4517198775,-134510.455078125,42
8vars_1cons_20251210_152830_522,8,1,3,0.0,0.9765625,1092.2877499028,-34921.2080078125,63
8vars_1cons_20251210_152830_522,8,1,4,0.0,99.31640625,109.714965786,-3478.87890625,96
8vars_1cons_20251210_152830_522,8,1,5,0.0,34.27734375,3206.624632787,-102579.98828125,103
8vars_1cons_20251210_152830_522,8,1,6,0.0,6.640625,6731.4182718222,-215373.384765625,111
8vars_1cons_20251210_152830_522,8,1,7,0.0,4.8828125,3902.4514758313,-124846.447265625,149
8vars_1cons_20251210_152830_631,8,1,1,0.0,100.0,0.0555555556,-38.0,28
8vars_1cons_20251210_152830_631,8,1,2,0.0,97.16796875,160.0512695757,-5797.845703125,53
8vars_1cons_20251210_152830_631,8,1,3,0.0,17.28515625,2222.2057297839,-80035.40625,67
8vars_1cons_20251210_152830_631,8,1,4,0.0,66.6015625,445.3759495595,-16069.5341796875,90
8vars_1cons_20251210_152830_631,8,1,5,0.0,92.08984375,300.4878473057,-10853.5625,95
8vars_1cons_20251210_152830_631,8,1,6,0.0,92.28515625,168.0514594651,-6085.8525390625,121
8vars_1cons_20251210_152830_631,8,1,7,0.0,67.67578125,763.588514752,-27525.1865234375,144
8vars_3cons_20251210_152830_761,8,3,2,0.0,0.0,712820.2748731172,-7128192.755859375,44
8vars_3cons_20251210_152830_761,8,3,3,0.0,1.85546875,698574.512777988,-6985735.134765625,63
8vars_3cons_20251210_152830_761,8,3,4,0.0,39.16015625,454521.3984712598,-4545203.9892578125,94
8vars_3cons_20251210_152830_761,8,3,5,0.0,28.90625,327101.1981103988,-3271001.984375,125
8vars_3cons_20251210_152830_761,8,3,6,0.0,1.26953125,560707.7243416359,-5607067.2490234375,109
8vars_3cons_20251210_152830_761,8,3,7,0.0,23.4375,277025.8950354741,-2770248.953125,143
8vars_3cons_20251210_152830_453,8,3,2,0.0,99.31640625,6015.8222535934,-30074.111328125,49
8vars_3cons_20251210_152830_453,8,3,3,0.0,11.62109375,430881.3313647998,-2154401.6611328125,62
8vars_3cons_20251210_152830_453,8,3,4,0.0,88.0859375,16422.1280921557,-82105.640625,94
8vars_3cons_20251210_152830_453,8,3,5,0.0,91.30859375,54904.0403198794,-274515.2021484375,121
8vars_3cons_20251210_152830_453,8,3,6,0.0,2.83203125,660244.4373513862,-3301217.193359375,108
8vars_3cons_20251210_152830_453,8,3,7,0.0,90.4296875,74295.4328592216,-371472.1650390625,126
8vars_3cons_20251210_152830_582,8,3,2,0.0,1.46484375,17516.6192551102,-122609.3349609375,45
8vars_3cons_20251210_152830_582,8,3,3,0.0,0.0,15706.3783257766,-109937.6484375,77
8vars_3cons_20251210_152830_582,8,3,4,0.0,1.171875,29049.9748468929,-203342.82421875,83
8vars_3cons_20251210_152830_582,8,3,5,0.0,21.77734375,72632.5223571768,-508420.6572265625,124
8vars_3cons_20251210_152830_582,8,3,6,0.0,41.30859375,138559.5323076382,-969909.7275390624,143
8vars_3cons_20251210_152830_582,8,3,7,0.0,49.8046875,184304.986483359,-1290127.9072265625,123
8vars_2cons_20251210_152830_395,8,2,2,0.0,99.90234375,207.9919438794,-835.9677734375,61
8vars_2cons_20251210_152830_395,8,2,3,0.0,59.1796875,57214.6612758492,-228862.64453125,58
8vars_2cons_20251210_152830_395,8,2,4,0.0,29.4921875,154372.9869581981,-617495.9462890625,85
