num_vars,num_cons,problemid,p,ARG,success_rate,incons_rate
4,1,0,1,64.90128076095631,0.0007157350671851584,0.011926491405789417
4,1,0,2,49.966482357453025,0.0008547910398164657,0.013338438375846081
4,1,0,3,62.834097606307246,0.00027315729781007174,0.013643020022138509
4,1,1,1,38.11222527639541,9.932247287736687e-05,0.023478138182639514
4,1,1,2,35.62411643773643,6.513867845957691e-06,0.023830032301969565
4,1,1,3,44.86661067187885,2.8190014697545155e-06,0.021323717068333522
4,1,1,4,40.978215877340766,4.6710625414197086e-05,0.019631135562399395
4,1,1,5,40.065277365451685,2.20995720845479e-06,0.017915904111353475
4,1,1,6,41.89084198935899,1.911795425857842e-05,0.021355384507129118
4,2,0,1,111.9597685487775,0.00012085791952323343,0.0019566348829131554
4,2,0,2,113.31078323165869,0.0001857694712887203,0.0024467760798529024
4,2,0,3,111.68449618821128,5.205138701419788e-05,0.0024223675456786753
4,2,1,1,24.57700330719094,2.1706294131683528e-06,0.0024514611005558426
4,2,1,2,25.01443664302661,1.758110638583137e-05,0.0014457262095816264
4,2,1,3,24.168811135673504,0.00017034018886479777,0.001185924496390899
4,2,1,4,20.02357208089413,9.06006811679547e-05,0.001667137533973526
4,2,1,5,19.964685979984818,4.596833720683028e-06,0.0023377077910969254
4,2,1,6,25.615329704124672,0.00011102424769039655,0.0015211059954760536
