问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
5vars_1cons_20251210_151911_818,5,1,3,0.0,88.8671875,257.6706413118,-4876.7421875,60
5vars_1cons_20251210_151911_818,5,1,4,0.0,99.8046875,13.4739925916,-237.005859375,80
5vars_1cons_20251210_151911_818,5,1,5,0.0,99.0234375,16.8405633135,-300.970703125,108
5vars_1cons_20251210_151911_818,5,1,6,0.0,98.33984375,28.628957633,-524.9501953125,130
5vars_1cons_20251210_151911_818,5,1,7,0.0,91.11328125,153.2491261529,-2892.7333984375,139
5vars_3cons_20251210_151911_233,5,3,2,0.0,99.90234375,15.9990234215,-149.990234375,39
5vars_3cons_20251210_151911_233,5,3,3,0.0,98.53515625,239.9865231975,-2389.865234375,60
5vars_3cons_20251210_151911_233,5,3,4,0.0,99.90234375,15.9990234215,-149.990234375,81
5vars_3cons_20251210_151911_233,5,3,5,0.0,99.21875,127.996874872,-1269.96875,117
5vars_3cons_20251210_151911_233,5,3,6,0.0,88.28125,2044.7642557677,-20437.642578125,106
5vars_3cons_20251210_151911_238,5,3,2,0.0,99.12109375,25225.9086127322,-75680.7255859375,43
5vars_3cons_20251210_151911_238,5,3,3,0.0,95.60546875,125489.5538037152,-376471.66015625,71
5vars_3cons_20251210_151911_238,5,3,4,0.0,97.16796875,80264.2411529641,-240795.72265625,108
5vars_3cons_20251210_151911_238,5,3,5,0.0,99.8046875,5226.5045747133,-15682.513671875,104
5vars_3cons_20251210_151911_238,5,3,6,0.0,98.73046875,35465.5880088436,-106399.763671875,114
5vars_3cons_20251210_151911_238,5,3,7,0.0,98.92578125,30025.753680815,-90080.2607421875,150
5vars_2cons_20251210_151911_583,5,2,2,0.0,99.0234375,498.2765059846,-3480.935546875,45
5vars_2cons_20251210_151911_583,5,2,4,0.0,98.828125,630.8454232059,-4408.91796875,86
5vars_2cons_20251210_151911_583,5,2,5,0.0,99.8046875,91.4268971908,-632.98828125,109
5vars_2cons_20251210_151911_583,5,2,6,0.0,99.90234375,59.4274552722,-408.9921875,127
5vars_2cons_20251210_151911_583,5,2,7,0.0,98.6328125,653.7022870126,-4568.916015625,146
5vars_3cons_20251210_151911_930,5,3,2,0.0,93.84765625,41662.3595138745,-124990.078125,39
5vars_3cons_20251210_151911_930,5,3,3,0.0,71.09375,195747.2421889491,-587244.724609375,77
5vars_3cons_20251210_151911_930,5,3,4,0.0,90.4296875,64808.300346236,-194427.900390625,84
5vars_3cons_20251210_151911_930,5,3,5,0.0,97.0703125,19839.2676442559,-59520.802734375,109
5vars_3cons_20251210_151911_930,5,3,6,0.0,92.87109375,48275.7596010234,-144830.2783203125,112
