问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
7vars_3cons_20251210_152353_219,7,3,2,0.0,99.70703125,2277.7502684059,-25066.2529296875,40
7vars_3cons_20251210_152353_219,7,3,4,0.0,99.8046875,1518.5001789373,-16714.501953125,84
7vars_3cons_20251210_152353_219,7,3,5,0.0,99.90234375,759.2500894686,-8362.7509765625,104
7vars_3cons_20251210_152353_219,7,3,6,0.0,99.70703125,2277.7502684059,-25066.2529296875,117
7vars_1cons_20251210_152353_906,7,1,1,0.29296875,100.0,0.1668294274,-7.0009765625,31
7vars_1cons_20251210_152353_906,7,1,2,49.12109375,100.0,0.0852864585,-6.51171875,47
7vars_1cons_20251210_152353_906,7,1,3,99.8046875,100.0,0.0006510417,-6.00390625,76
7vars_1cons_20251210_152353_906,7,1,4,96.09375,100.0,0.0065104167,-6.0390625,88
7vars_1cons_20251210_152353_906,7,1,5,98.6328125,100.0,0.0024414063,-6.0146484375,124
7vars_1cons_20251210_152353_906,7,1,6,99.51171875,100.0,0.0011393229,-6.0068359375,122
7vars_1cons_20251210_152353_906,7,1,7,98.6328125,100.0,0.0030924479,-6.0185546875,129
7vars_3cons_20251210_152353_539,7,3,2,0.0,99.90234375,123.0727162515,-1586.9453125,41
7vars_3cons_20251210_152353_539,7,3,3,0.0,99.70703125,369.2181487544,-4786.8359375,65
7vars_3cons_20251210_152353_539,7,3,4,0.0,99.8046875,246.145432503,-3186.890625,85
7vars_3cons_20251210_152353_539,7,3,5,0.0,99.70703125,369.2181487544,-4786.8359375,91
7vars_3cons_20251210_152353_539,7,3,6,0.0,99.31640625,861.5090137604,-11186.6171875,119
7vars_1cons_20251210_152353_148,7,1,1,0.0,100.0,1.4285714276,-6.0,29
7vars_1cons_20251210_152353_148,7,1,2,0.0,100.0,1.4309430793,-6.033203125,61
7vars_1cons_20251210_152353_148,7,1,3,0.0,0.29296875,10714.3908266103,-149987.4716796875,76
7vars_1cons_20251210_152353_148,7,1,4,0.0,99.70703125,111.1415317286,-1541.9814453125,83
7vars_1cons_20251210_152353_148,7,1,5,0.0,94.04296875,2127.0812624315,-29765.1376953125,103
7vars_1cons_20251210_152353_148,7,1,6,0.0,9.66796875,14283.7097414715,-199957.9365234375,121
7vars_1cons_20251210_152353_148,7,1,7,0.0,40.625,9024.7669438886,-126332.7373046875,145
7vars_2cons_20251210_152353_129,7,2,1,0.0,99.90234375,82.2833426927,-1165.966796875,23
7vars_2cons_20251210_152353_129,7,2,2,0.0,98.2421875,1481.1001684686,-20749.40234375,54
7vars_2cons_20251210_152353_129,7,2,3,0.0,83.984375,13494.4682016032,-188936.5546875,72
7vars_2cons_20251210_152353_129,7,2,4,0.0,31.640625,58128.6057892883,-813814.48046875,86
7vars_2cons_20251210_152353_129,7,2,5,0.0,98.92578125,1334.8159886767,-18701.423828125,98
7vars_2cons_20251210_152353_129,7,2,6,0.0,91.40625,12612.1743951694,-176584.44140625,111
7vars_2cons_20251210_152353_129,7,2,7,0.0,97.16796875,2601.0665476168,-36428.931640625,134
7vars_3cons_20251210_152353_342,7,3,2,0.0,99.51171875,422.8445867515,-5905.82421875,58
7vars_3cons_20251210_152353_342,7,3,3,0.0,95.99609375,3467.3256113626,-48528.55859375,64
7vars_3cons_20251210_152353_342,7,3,4,0.0,99.90234375,84.5689173503,-1169.96484375,82
7vars_3cons_20251210_152353_342,7,3,6,0.0,99.609375,338.2756694012,-4721.859375,107
7vars_2cons_20251210_152353_332,7,2,1,0.0,99.90234375,159.9945067359,-2543.912109375,21
7vars_2cons_20251210_152353_332,7,2,3,0.0,99.609375,639.9791866117,-10223.6669921875,69
7vars_2cons_20251210_152353_332,7,2,4,0.0,81.15234375,34398.973550278,-550367.5771484375,89
7vars_2cons_20251210_152353_332,7,2,5,0.0,97.75390625,3679.8736549266,-58861.978515625,99
7vars_2cons_20251210_152353_332,7,2,6,0.0,99.0234375,1599.9462270274,-25583.1396484375,129
7vars_2cons_20251210_152353_332,7,2,7,0.0,99.70703125,479.9869992117,-7663.7919921875,142
7vars_3cons_20251210_152353_936,7,3,5,0.0,99.90234375,57.5996092598,-282.998046875,99
7vars_3cons_20251210_152353_936,7,3,6,0.0,99.8046875,115.1992185196,-570.99609375,106
7vars_3cons_20251210_152353_936,7,3,7,0.0,99.0234375,575.996092598,-2874.98046875,134
7vars_2cons_20251210_152353_539,7,2,2,0.0,99.90234375,37.8156072787,-426.9716796875,42
7vars_2cons_20251210_152353_539,7,2,3,0.0,99.4140625,145.446999422,-1610.9169921875,70
7vars_2cons_20251210_152353_539,7,2,4,0.0,3.61328125,15858.5108453827,-174454.619140625,92
7vars_2cons_20251210_152353_539,7,2,5,0.0,96.38671875,509.0735977639,-5610.8095703125,104
7vars_2cons_20251210_152353_539,7,2,6,0.0,0.0,8489.8072697919,-93398.8798828125,137
7vars_2cons_20251210_152353_539,7,2,7,0.0,0.0,5493.7294971818,-60442.0244140625,151
7vars_2cons_20251210_152353_641,7,2,2,0.0,99.90234375,1501.4936136287,-19506.4169921875,46
7vars_2cons_20251210_152353_641,7,2,3,0.0,99.51171875,3367.2831254146,-43761.6806640625,66
7vars_2cons_20251210_152353_641,7,2,4,0.0,59.765625,13427.1598454406,-174540.078125,77
7vars_2cons_20251210_152353_641,7,2,5,0.0,67.28515625,88580.7659324619,-1151536.9580078125,93
7vars_2cons_20251210_152353_641,7,2,6,0.0,3.41796875,357483.204051936,-4647268.65625,93
7vars_2cons_20251210_152353_641,7,2,7,0.0,0.9765625,23095.847262883,-300233.0146484375,174
7vars_3cons_20251210_152353_642,7,3,2,0.0,99.70703125,1583.9619219823,-3169.923828125,48
7vars_3cons_20251210_152353_642,7,3,3,0.0,99.90234375,527.9873073274,-1057.974609375,62
7vars_3cons_20251210_152353_642,7,3,5,0.0,99.90234375,527.9873073274,-1057.974609375,88
7vars_3cons_20251210_152353_642,7,3,6,0.0,99.90234375,527.9873073274,-1057.974609375,113
7vars_3cons_20251210_152353_672,7,3,1,0.0,99.90234375,103.1070962396,-918.9638671875,21
7vars_3cons_20251210_152353_672,7,3,2,0.0,99.90234375,103.1070962396,-918.9638671875,46
7vars_3cons_20251210_152353_672,7,3,3,0.0,86.5234375,10264.7031135948,-92373.328125,79
7vars_3cons_20251210_152353_672,7,3,4,0.0,53.125,30613.1065198049,-275508.958984375,85
7vars_3cons_20251210_152353_672,7,3,5,0.0,96.6796875,7256.7081082564,-65301.373046875,115
7vars_3cons_20251210_152353_672,7,3,6,0.0,79.39453125,20557.6522124012,-185009.8701171875,110
7vars_3cons_20251210_152353_672,7,3,7,0.0,97.94921875,1521.7575937953,-13686.818359375,137
7vars_2cons_20251210_152353_701,7,2,2,0.0,99.8046875,97.8800552046,-1680.9609375,41
7vars_2cons_20251210_152353_701,7,2,3,0.0,99.8046875,97.8800552046,-1680.9609375,65
7vars_2cons_20251210_152353_701,7,2,4,0.0,99.70703125,146.820082807,-2512.94140625,80
7vars_2cons_20251210_152353_701,7,2,6,0.0,99.8046875,97.8800552046,-1680.9609375,123
7vars_1cons_20251210_152353_470,7,1,1,0.0,100.0,0.4999999995,5.0,22
7vars_1cons_20251210_152353_470,7,1,2,0.0,100.0,0.4999999995,5.0,46
7vars_1cons_20251210_152353_470,7,1,3,0.0,99.609375,51.6998046358,-506.998046875,62
7vars_1cons_20251210_152353_470,7,1,4,0.0,93.65234375,641.3629876399,-6403.6298828125,90
7vars_1cons_20251210_152353_470,7,1,5,0.0,98.53515625,125.2943358122,-1242.943359375,96
7vars_1cons_20251210_152353_470,7,1,6,0.0,60.64453125,1463.8162094737,-14628.162109375,122
7vars_1cons_20251210_152353_470,7,1,7,0.0,0.0,3297.1126920154,-32961.126953125,136
7vars_2cons_20251210_152353_830,7,2,3,0.0,32.71484375,346772.6260662357,-2080641.7529296875,65
7vars_2cons_20251210_152353_830,7,2,4,0.0,4.296875,71068.5082564683,-426417.048828125,78
7vars_2cons_20251210_152353_830,7,2,5,0.0,43.06640625,366777.4252532228,-2200670.5478515625,99
7vars_2cons_20251210_152353_830,7,2,6,0.0,6.34765625,227373.1802292157,-1364245.0791015625,110
7vars_2cons_20251210_152353_830,7,2,7,0.0,12.01171875,51186.6141803631,-307125.6845703125,148
7vars_1cons_20251210_152353_738,7,1,1,0.0,100.0,2.3333333307,-12.0,21
7vars_1cons_20251210_152353_738,7,1,2,0.0,100.0,2.3321397544,-11.9892578125,55
7vars_1cons_20251210_152353_738,7,1,3,0.0,98.53515625,140.9917533156,-1259.92578125,71
7vars_1cons_20251210_152353_738,7,1,4,0.0,26.66015625,2671.920352934,-24038.283203125,86
7vars_1cons_20251210_152353_738,7,1,5,0.0,98.92578125,98.3162976338,-875.8466796875,101
7vars_1cons_20251210_152353_738,7,1,6,0.0,88.57421875,417.5393875569,-3748.8544921875,122
7vars_1cons_20251210_152353_738,7,1,7,0.0,99.12109375,61.5398219802,-544.8583984375,156
7vars_2cons_20251210_152353_405,7,2,1,0.0,0.0,53245.5000665569,-425972.0,30
7vars_2cons_20251210_152353_405,7,2,2,0.0,99.90234375,104.1219483723,-840.9755859375,53
7vars_2cons_20251210_152353_405,7,2,3,0.0,99.4140625,744.1008310083,-5960.806640625,70
7vars_2cons_20251210_152353_405,7,2,4,0.0,54.8828125,58394.3981442821,-467163.1845703125,78
7vars_2cons_20251210_152353_405,7,2,5,0.0,98.73046875,1580.0845967017,-12648.6767578125,96
7vars_2cons_20251210_152353_405,7,2,6,0.0,0.0,22790.1581095424,-182329.2646484375,131
7vars_2cons_20251210_152353_405,7,2,7,0.0,0.0,26658.8530606673,-213278.82421875,132
7vars_1cons_20251210_152353_571,7,1,1,0.0,99.8046875,51.9982910806,-423.986328125,24
7vars_1cons_20251210_152353_571,7,1,2,0.0,99.90234375,63.9970703925,-519.9765625,53
7vars_1cons_20251210_152353_571,7,1,3,0.0,99.8046875,99.9982911406,-807.986328125,82
7vars_1cons_20251210_152353_571,7,1,4,0.0,72.4609375,16247.4581501921,-129987.6650390625,86
7vars_1cons_20251210_152353_571,7,1,5,0.0,97.94921875,1119.9978041344,-8967.982421875,105
7vars_1cons_20251210_152353_571,7,1,6,0.0,0.09765625,74882.1531697746,-599065.224609375,130
7vars_1cons_20251210_152353_571,7,1,7,0.0,8.7890625,72849.5682062963,-582804.544921875,127
7vars_3cons_20251210_152353_869,7,3,3,0.0,97.94921875,730.4151661226,-16776.548828125,64
7vars_1cons_20251210_152353_464,7,1,1,0.0,100.0,0.1176470588,15.0,21
7vars_1cons_20251210_152353_464,7,1,2,0.0,100.0,0.118336397,14.98828125,60
7vars_1cons_20251210_152353_464,7,1,3,0.0,66.9921875,3832.430317139,-65134.3154296875,80
7vars_1cons_20251210_152353_464,7,1,4,0.0,96.6796875,455.6955420114,-7729.82421875,91
7vars_1cons_20251210_152353_464,7,1,5,0.0,71.484375,3247.0494581084,-55182.8408203125,99
7vars_1cons_20251210_152353_464,7,1,6,0.0,66.89453125,658.9661071491,-11185.423828125,132
7vars_1cons_20251210_152353_464,7,1,7,0.0,78.41796875,664.6462542046,-11281.986328125,156
7vars_2cons_20251210_152353_338,7,2,1,0.0,99.90234375,1174.8222673033,-8230.755859375,25
7vars_2cons_20251210_152353_338,7,2,2,0.0,99.8046875,1197.6787126485,-8390.7509765625,48
7vars_2cons_20251210_152353_338,7,2,3,0.0,26.46484375,79952.1484122084,-559672.0380859375,85
7vars_2cons_20251210_152353_338,7,2,4,0.0,3.41796875,103654.6901592388,-725589.830078125,85
7vars_2cons_20251210_152353_338,7,2,5,0.0,71.484375,45562.1642670977,-318942.1494140625,108
7vars_2cons_20251210_152353_338,7,2,6,0.0,5.078125,127621.6964713792,-893358.8740234375,106
7vars_2cons_20251210_152353_338,7,2,7,0.0,13.8671875,67705.6451860081,-473946.515625,147
7vars_1cons_20251210_152353_946,7,1,1,0.0,100.0,0.6666666663,7.0,23
7vars_1cons_20251210_152353_946,7,1,2,0.0,100.0,0.6669456842,6.994140625,48
7vars_1cons_20251210_152353_946,7,1,3,0.0,99.51171875,7.631556916,-139.2626953125,79
7vars_1cons_20251210_152353_946,7,1,4,0.0,64.0625,620.7112627253,-13013.9365234375,98
7vars_1cons_20251210_152353_946,7,1,5,0.0,76.171875,396.8127323259,-8312.0673828125,90
7vars_1cons_20251210_152353_946,7,1,6,0.0,86.42578125,212.2211680537,-4435.64453125,145
7vars_1cons_20251210_152353_946,7,1,7,0.0,97.55859375,38.7684616631,-793.1376953125,168
7vars_3cons_20251210_152353_845,7,3,1,0.0,99.90234375,90.6624347447,-537.974609375,25
7vars_3cons_20251210_152353_845,7,3,2,0.0,99.90234375,90.6624347447,-537.974609375,42
7vars_3cons_20251210_152353_845,7,3,3,0.0,17.87109375,521880.4685312409,-3131276.81640625,76
7vars_3cons_20251210_152353_845,7,3,4,0.0,93.359375,13615.4732845992,-81686.83984375,86
7vars_3cons_20251210_152353_845,7,3,5,0.0,90.8203125,27065.7317257238,-162388.390625,108
7vars_3cons_20251210_152353_845,7,3,6,0.0,77.9296875,121270.5424411116,-727617.255859375,106
7vars_3cons_20251210_152353_845,7,3,7,0.0,97.8515625,4458.4934821525,-26744.9609375,156
7vars_1cons_20251210_152353_907,7,1,1,0.0,100.0,0.0869565218,-25.0,25
7vars_1cons_20251210_152353_907,7,1,2,0.0,99.31640625,51.5642408512,-1208.9775390625,47
7vars_1cons_20251210_152353_907,7,1,3,0.0,96.58203125,48.7913977794,-1145.2021484375,64
7vars_1cons_20251210_152353_907,7,1,4,0.0,76.3671875,402.1916187211,-9273.4072265625,92
7vars_1cons_20251210_152353_907,7,1,5,0.0,96.38671875,116.9588570481,-2713.0537109375,102
7vars_1cons_20251210_152353_907,7,1,6,0.0,0.5859375,1746.3170014386,-40188.291015625,135
7vars_1cons_20251210_152353_907,7,1,7,0.0,53.61328125,943.488961008,-21723.24609375,140
7vars_1cons_20251210_152353_284,7,1,1,0.0,100.0,0.3999999996,6.0,21
7vars_1cons_20251210_152353_284,7,1,2,0.0,99.90234375,13.1995117056,-121.9951171875,49
7vars_1cons_20251210_152353_284,7,1,3,0.0,100.0,0.3999999996,6.0,64
7vars_1cons_20251210_152353_284,7,1,4,0.0,60.3515625,5228.7013619588,-52277.013671875,93
7vars_1cons_20251210_152353_284,7,1,5,0.0,97.36328125,425.9856441053,-4249.8564453125,104
