问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
9vars_1cons_20251210_153248_736,9,1,1,0.0,100.0,1.8000000036,-14.0,31
9vars_1cons_20251210_153248_736,9,1,2,0.0,96.2890625,347.4546881949,-1742.2734375,53
9vars_1cons_20251210_153248_736,9,1,3,0.0,99.31640625,97.8337892582,-494.1689453125,65
9vars_1cons_20251210_153248_736,9,1,4,0.0,96.09375,616.729102796,-3088.6455078125,86
9vars_1cons_20251210_153248_736,9,1,5,0.0,88.671875,744.8539077397,-3729.26953125,94
9vars_1cons_20251210_153248_736,9,1,6,0.0,99.70703125,123.5646486846,-622.8232421875,133
9vars_1cons_20251210_153248_736,9,1,7,0.0,99.12109375,111.4423830354,-562.2119140625,136
9vars_2cons_20251210_153248_732,9,2,1,0.0,99.8046875,60.442274272,-1069.9609375,30
9vars_2cons_20251210_153248_732,9,2,2,0.0,99.90234375,30.2217881777,-525.9921875,47
9vars_2cons_20251210_153248_732,9,2,3,0.0,0.0,14564.4444363531,-262142.0,70
9vars_2cons_20251210_153248_732,9,2,4,0.0,0.09765625,69776.635160888,-1255961.43359375,95
9vars_2cons_20251210_153248_732,9,2,5,0.0,4.00390625,69742.4622008375,-1255346.3203125,97
9vars_2cons_20251210_153248_732,9,2,6,0.0,5.859375,68530.1195365805,-1233524.15234375,127
9vars_2cons_20251210_153248_732,9,2,7,0.0,2.734375,72745.2026505582,-1309395.6484375,163
9vars_2cons_20251210_153248_248,9,2,1,0.0,99.90234375,5247.8310022092,-5246.8310546875,30
9vars_2cons_20251210_153248_248,9,2,2,0.0,85.3515625,177307.4601409879,-177306.4619140625,60
9vars_2cons_20251210_153248_248,9,2,3,0.0,16.9921875,4756301.691694796,-4756300.7392578125,83
9vars_2cons_20251210_153248_248,9,2,4,0.0,89.94140625,86973.3809662037,-86972.3818359375,85
9vars_2cons_20251210_153248_248,9,2,5,0.0,46.77734375,467093.7257978127,-467092.73046875,119
9vars_2cons_20251210_153248_248,9,2,6,0.0,6.25,4931908.418454354,-4931907.4677734375,102
9vars_2cons_20251210_153248_248,9,2,7,0.0,94.921875,172954.9445595131,-172953.9462890625,146
9vars_2cons_20251210_153248_692,9,2,1,0.0,99.70703125,2927.9140588401,-23415.3125,24
9vars_2cons_20251210_153248_692,9,2,2,0.0,99.90234375,1459.9572735657,-11671.658203125,50
9vars_2cons_20251210_153248_692,9,2,3,0.0,96.2890625,1579.9665507594,-12631.732421875,76
9vars_2cons_20251210_153248_692,9,2,4,0.0,0.09765625,145139.0664689668,-1161104.533203125,95
9vars_2cons_20251210_153248_692,9,2,5,0.0,6.34765625,237713.1234821554,-1901696.990234375,99
9vars_2cons_20251210_153248_692,9,2,6,0.0,3.7109375,156323.3683348692,-1250578.9482421875,161
9vars_2cons_20251210_153248_692,9,2,7,0.0,30.46875,120548.3437213849,-964378.7509765624,149
9vars_1cons_20251210_153248_788,9,1,1,0.0,100.0,1.4993722088,-6.9912109375,32
9vars_1cons_20251210_153248_788,9,1,2,0.0,100.0,1.4999999989,-7.0,51
9vars_1cons_20251210_153248_788,9,1,3,0.0,89.6484375,970.5193212934,-13573.2705078125,76
9vars_1cons_20251210_153248_788,9,1,4,0.0,60.15625,4590.2695279712,-64249.7734375,92
9vars_1cons_20251210_153248_788,9,1,5,0.0,79.8828125,1912.065009795,-26754.91015625,125
9vars_1cons_20251210_153248_788,9,1,6,0.0,85.15625,1902.1477385967,-26616.068359375,115
9vars_1cons_20251210_153248_788,9,1,7,0.0,89.55078125,1060.9725857377,-14839.6162109375,138
9vars_2cons_20251210_153248_838,9,2,1,0.0,100.0,1.5999999989,-9.0,29
9vars_2cons_20251210_153248_838,9,2,2,0.0,99.90234375,22.9322265472,-328.9833984375,60
9vars_2cons_20251210_153248_838,9,2,3,0.0,96.6796875,306.6550128164,-4584.8251953125,76
9vars_2cons_20251210_153248_838,9,2,4,0.0,99.8046875,5.8666666628,-73.0,99
9vars_2cons_20251210_153248_838,9,2,5,0.0,0.5859375,93506.0250027668,-1402575.3759765625,103
9vars_2cons_20251210_153248_838,9,2,6,0.0,14.453125,43180.9402055877,-647699.103515625,128
9vars_2cons_20251210_153248_838,9,2,7,0.0,2.1484375,103160.0183557058,-1547385.2763671875,126
9vars_3cons_20251210_153248_669,9,3,2,0.0,99.12109375,619.769068994,-11794.6123046875,49
9vars_3cons_20251210_153248_669,9,3,3,0.0,99.8046875,126.3119860862,-2418.927734375,71
9vars_3cons_20251210_153248_669,9,3,4,0.0,70.5078125,15858.1540996293,-301323.927734375,103
9vars_3cons_20251210_153248_669,9,3,5,0.0,1.7578125,88955.0756019172,-1690165.435546875,90
9vars_3cons_20251210_153248_669,9,3,6,0.0,51.5625,44628.4266785051,-847959.1064453125,115
9vars_3cons_20251210_153248_669,9,3,7,0.0,27.1484375,57114.7856488927,-1085199.9267578125,138
9vars_1cons_20251210_153248_882,9,1,1,0.0,24.609375,809.808398235,-32352.3359375,27
9vars_1cons_20251210_153248_882,9,1,2,0.0,99.70703125,60.423461899,-2376.9384765625,56
9vars_1cons_20251210_153248_882,9,1,3,0.0,99.21875,107.5844726294,-4263.37890625,66
9vars_1cons_20251210_153248_882,9,1,4,0.0,8.49609375,8280.9248514454,-331196.994140625,90
9vars_1cons_20251210_153248_882,9,1,5,0.0,11.9140625,4004.910228491,-160156.4091796875,100
9vars_1cons_20251210_153248_882,9,1,6,0.0,5.2734375,4371.3115467587,-174812.4619140625,152
9vars_1cons_20251210_153248_882,9,1,7,0.0,28.41796875,2397.1928216663,-95847.712890625,151
9vars_3cons_20251210_153248_825,9,3,1,0.0,99.8046875,279.2642047993,-3082.90625,30
9vars_3cons_20251210_153248_825,9,3,2,0.0,99.90234375,17.4533025727,-202.986328125,51
9vars_3cons_20251210_153248_825,9,3,3,0.0,99.609375,340.3512076958,-3754.86328125,70
9vars_3cons_20251210_153248_825,9,3,4,0.0,12.79296875,78813.2467868473,-866956.7138671875,75
9vars_3cons_20251210_153248_825,9,3,5,0.0,3.90625,39847.6005333842,-438334.60546875,113
9vars_3cons_20251210_153248_825,9,3,6,0.0,21.875,26963.679623234,-296611.4755859375,133
9vars_3cons_20251210_153248_825,9,3,7,0.0,0.9765625,67677.5763221785,-744464.3388671875,155
9vars_1cons_20251210_153248_564,9,1,1,0.0,99.51171875,1039.9619192623,-2081.923828125,30
9vars_1cons_20251210_153248_564,9,1,2,0.0,99.4140625,911.9633834661,-1825.9267578125,54
9vars_1cons_20251210_153248_564,9,1,3,0.0,99.90234375,255.9877942487,-513.9755859375,72
9vars_1cons_20251210_153248_564,9,1,4,0.0,17.48046875,65050.2615557201,-130102.5224609375,91
9vars_1cons_20251210_153248_564,9,1,5,0.0,50.1953125,29116.4698721448,-58234.939453125,119
9vars_1cons_20251210_153248_564,9,1,6,0.0,0.09765625,53108.5725311679,-106219.14453125,142
9vars_1cons_20251210_153248_564,9,1,7,0.0,63.4765625,18477.6626900446,-36957.3251953125,135
9vars_2cons_20251210_153248_936,9,2,1,0.0,100.0,1.8571428598,-20.0,26
9vars_2cons_20251210_153248_936,9,2,2,0.0,100.0,1.8571428598,-20.0,39
9vars_2cons_20251210_153248_936,9,2,3,0.0,99.609375,148.1311386045,-1043.91796875,70
9vars_2cons_20251210_153248_936,9,2,4,0.0,100.0,1.8571428598,-20.0,95
9vars_2cons_20251210_153248_936,9,2,5,0.0,0.0,221286.5022692486,-1549012.513671875,118
